source,role_search,title,company,experience,salary,salary_min,salary_max,salary_avg,location,skills_raw,description,posted_date,company_rating,job_url,scraped_at
Naukri,power bi analyst,Power Bi Analyst- Largest Health care- Hyderabad,Apollo Health and Lifestyle (AHLL),2-6 Yrs,,,,,Hyderabad,Power Bi | Advanced Analytics | analyst | Analytics Reporting | Reporting | Large | Analytics | Healthcare,,3 weeks ago,4.3,https://www.naukri.com/job-listings-power-bi-analyst-largest-health-care-hyderabad-apollo-health-and-lifestyle-ahll-hyderabad-2-to-6-years-150426018630,2026-06-04T16:07:25.896056
Naukri,power bi analyst,Data Analyst - Power BI,Ecotech IT Solutions,5-10 Yrs,,,,,Pune,Power BI | Power Query | SQL | Data Visualization | DAX | Business Intelligence | Advanced Excel | M Query,,5 days ago,,https://www.naukri.com/job-listings-data-analyst-power-bi-fabric-pune-5-to-10-years-200426007998,2026-06-04T16:07:25.896590
Naukri,power bi analyst,"Senior Data Analyst - Power BI, SQL",Optum,3-8 Yrs,,,,,Gurugram,finance | sprint | ai | power bi | hr | user stories | user experience | business intelligence,,1 day ago,4.0,https://www.naukri.com/job-listings-senior-data-analyst-power-bi-sql-optum-global-solutions-india-private-limited-gurugram-3-to-8-years-030626913682,2026-06-04T16:07:25.897020
Naukri,power bi analyst,Power Bi Developer / Power Bi Analyst,Gokaldas Exports,8-12 Yrs,,,,,Bengaluru,Power Bi Reports | power bi dashboards | dax calculations | KPI | Development | Birt | Calculation | Reporting,,2 weeks ago,3.9,https://www.naukri.com/job-listings-power-bi-developer-power-bi-analyst-gokaldas-exports-bengaluru-8-to-12-years-160526016784,2026-06-04T16:07:25.897418
Naukri,power bi analyst,Power BI Analyst / Consultant,Pcgi Systems,3-5 Yrs,,,,,Vadodara,Report generation | Data modeling | Information security | Disaster recovery | query | power bi | Data analytics | QlikView,,3+ weeks ago,4.0,https://www.naukri.com/job-listings-power-bi-analyst-consultant-pcgi-systems-vadodara-3-to-5-years-080823500315,2026-06-04T16:07:25.897821
Naukri,power bi analyst,Sr. Analyst - Power BI,Proclink,5-7 Yrs,,,,,Ahmedabad,python | data analysis | data analytics | ssas | bi | power bi | data warehousing | dashboards,,2 weeks ago,3.5,https://www.naukri.com/job-listings-sr-analyst-power-bi-proclink-consulting-services-llp-ahmedabad-5-to-7-years-200526501156,2026-06-04T16:07:25.898211
Naukri,power bi analyst,Client Consulting Analyst (vendor/operations/Power BI/invoices),Visa Consolidated Support Services India,5-7 Yrs,,,,,Bengaluru,forecasting | vendor management | project management | data analysis | issue resolution | power bi | process improvement | business planning,,1 day ago,3.5,https://www.naukri.com/job-listings-client-consulting-analyst-vendor-operations-power-bi-invoices-visa-consolidated-support-services-india-pvt-ltd-bengaluru-5-to-7-years-030626914520,2026-06-04T16:07:25.898608
Naukri,power bi analyst,"Senior Data Analyst - Data Governance, Power BI",Optum,5-10 Yrs,,,,,Gurugram,compliance | data analytics | data analysis | data management | data lineage | ai | power bi | auditing,,1 day ago,4.0,https://www.naukri.com/job-listings-senior-data-analyst-data-governance-power-bi-optum-global-solutions-india-private-limited-gurugram-5-to-10-years-030626913331,2026-06-04T16:07:25.899001
Naukri,power bi analyst,IAM Power BI Analyst,Zuna Solutions,8-13 Yrs,,,,,Remote,Identity Access Management | Power Bi | Power Query | IAM | Iam Tools | Entra Id | ISO | Sailpoint,,2 weeks ago,,https://www.naukri.com/job-listings-iam-power-bi-analyst-zuna-solutions-bengaluru-8-to-13-years-200526001576,2026-06-04T16:07:25.899362
Naukri,power bi analyst,Urgent Hiring Accounts Analyst  SAP & Power BI-(5-6years Exp) Kolkata,TYASuite Software Solutions Pvt Ltd,5-6 Yrs,,,,,Kolkata,SAP | Power Bi | Accounting | ERP | Financial Analysis | Finance | Analysis | Bi,,1 week ago,2.7,https://www.naukri.com/job-listings-urgent-hiring-accounts-analyst-sap-power-bi-5-6years-exp-kolkata-tyasuite-software-solutions-pvt-ltd-kolkata-5-to-6-years-130526016282,2026-06-04T16:07:25.899793
Naukri,power bi analyst,Data Analyst/ Power BI Developer,Ethiqual Global,3-5 Yrs,,,,,Pune,Data Analytics | Power Bi Dashboards | Power Bi | Data Visualization | Dax | Dashboards | SQL | Python,,1 week ago,3.2,https://www.naukri.com/job-listings-data-analyst-power-bi-developer-ethiqual-global-pune-3-to-5-years-250526009171,2026-06-04T16:07:25.900222
Naukri,power bi analyst,"Investment Risk Analyst (CFA/FRM, SQL, Power BI, Python)",Franklin templeton asset management (india)pvt,4-6 Yrs,,,,,Hyderabad,Front office | Operations research | Data management | Wealth management | Data quality | Asset management | Investment management | Medical insurance,,1 week ago,3.8,https://www.naukri.com/job-listings-investment-risk-analyst-cfa-frm-sql-power-bi-python-franklin-templeton-asset-management-india-pvt-hyderabad-4-to-6-years-270526502660,2026-06-04T16:07:25.900618
Naukri,power bi analyst,Product Analyst (Power BI / Data Analytics ),Lumel Technologies,1-3 Yrs,,,,,Chennai,python | data analytics | data analysis | ssas | data mining | bi | power bi | data warehousing,,5 days ago,3.7,https://www.naukri.com/job-listings-product-analyst-power-bi-data-analytics-lumel-chennai-1-to-3-years-290526507383,2026-06-04T16:07:25.901010
Naukri,power bi analyst,Power Bi Analyst,NCR Atleos,1-3 Yrs,,,,,Mumbai (All Areas)(Vikhroli),Power Bi | Power Bi Reports | Microsoft Power Bi | Bi | Data Visualization | Dax | Data Analytics | SQL,,1 week ago,3.8,https://www.naukri.com/job-listings-power-bi-analyst-ncr-corporation-mumbai-all-areas-1-to-3-years-260526014676,2026-06-04T16:07:25.901404
Naukri,power bi analyst,BI Analyst - Power BI,Leading Client,2-5 Yrs,,,,,"Mumbai, Hyderabad, Bengaluru",Power BI | Data Modelling | Business Intelligence | Azure | Excel | Dashboard | DAX | ETL,,1 week ago,,https://www.naukri.com/job-listings-bi-analyst-power-bi-talent-corner-hr-services-pvt-ltd-mumbai-hyderabad-bengaluru-2-to-5-years-260526928133,2026-06-04T16:07:25.901790
Naukri,power bi analyst,Power BI Analyst,360DigiTMG,3-5 Yrs,,,,,Chennai,SQL queries | Data analysis | Excel | Data modeling | BI Analyst | Analytical | power bi | SQL,,5 days ago,4.1,https://www.naukri.com/job-listings-power-bi-analyst-360digitmg-chennai-3-to-5-years-290526504065,2026-06-04T16:07:25.902183
Naukri,power bi analyst,Senior Power BI Analyst,NuStar Technologies,8-13 Yrs,,,,,"Chennai, Bengaluru, Delhi / NCR",Power Bi | Data Analysis | Banking Domain Knowledge | Data Quality | Risk | Advance Sql | Tableau | Dashboards,,6 days ago,,https://www.naukri.com/job-listings-senior-power-bi-analyst-nustar-technologies-chennai-bengaluru-delhi-ncr-8-to-13-years-290526001365,2026-06-04T16:07:25.902566
Naukri,power bi analyst,Data Analyst (Power BI & Azure Databricks),Bridgestone - Global Capability Center,4-7 Yrs,,,,,Hybrid - Bengaluru,Power Bi | Azure Databricks | Analytics | Python | SQL | Tableau | Microsoft Azure | Data analysis,,1 week ago,4.0,https://www.naukri.com/job-listings-data-analyst-power-bi-azure-databricks-bridgestone-global-capability-center-bengaluru-4-to-7-years-250526007034,2026-06-04T16:07:25.902963
Naukri,power bi analyst,Power BI Technical Lead (Lead Analyst),CGI,9-14 Yrs,,,,,Chennai,technical lead | snowflake | data analytics | sap | oracle | power bi | data warehousing | cognos,,1 week ago,4.0,https://www.naukri.com/job-listings-power-bi-technical-lead-lead-analyst-cgi-information-systems-and-management-consultants-chennai-9-to-14-years-210526923107,2026-06-04T16:07:25.903370
Naukri,power bi analyst,Senior Power BI Analyst,Nustar Technologies,8-13 Yrs,,,,,"Hyderabad, Chennai, Bengaluru",Power Bi | key performance indicators | Reporting | Bi | Senior | Performance | Key,,1 week ago,,https://www.naukri.com/job-listings-senior-power-bi-analyst-nustar-technologies-hyderabad-chennai-bengaluru-8-to-13-years-260526018019,2026-06-04T16:07:25.903756
Naukri,power bi analyst,Power Bi Analyst- Largest Health care- Hyderabad,Apollo Health and Lifestyle (AHLL),2-6 Yrs,,,,,Hyderabad,Power Bi | Advanced Analytics | analyst | Analytics Reporting | Reporting | Large | Analytics | Healthcare,,3 weeks ago,4.3,https://www.naukri.com/job-listings-power-bi-analyst-largest-health-care-hyderabad-apollo-health-and-lifestyle-ahll-hyderabad-2-to-6-years-150426018630,2026-06-04T16:07:47.480062
Naukri,power bi analyst,Data Analyst - Power BI,Ecotech IT Solutions,5-10 Yrs,,,,,Pune,Power BI | Power Query | SQL | Data Visualization | DAX | Business Intelligence | Advanced Excel | M Query,,5 days ago,,https://www.naukri.com/job-listings-data-analyst-power-bi-fabric-pune-5-to-10-years-200426007998,2026-06-04T16:07:47.480593
Naukri,power bi analyst,"Senior Data Analyst - Power BI, SQL",Optum,3-8 Yrs,,,,,Gurugram,finance | sprint | ai | power bi | hr | user stories | user experience | business intelligence,,1 day ago,4.0,https://www.naukri.com/job-listings-senior-data-analyst-power-bi-sql-optum-global-solutions-india-private-limited-gurugram-3-to-8-years-030626913682,2026-06-04T16:07:47.480988
Naukri,power bi analyst,Power Bi Developer / Power Bi Analyst,Gokaldas Exports,8-12 Yrs,,,,,Bengaluru,Power Bi Reports | power bi dashboards | dax calculations | KPI | Development | Birt | Calculation | Reporting,,2 weeks ago,3.9,https://www.naukri.com/job-listings-power-bi-developer-power-bi-analyst-gokaldas-exports-bengaluru-8-to-12-years-160526016784,2026-06-04T16:07:47.481376
Naukri,power bi analyst,Power BI Analyst / Consultant,Pcgi Systems,3-5 Yrs,,,,,Vadodara,Report generation | Data modeling | Information security | Disaster recovery | query | power bi | Data analytics | QlikView,,3+ weeks ago,4.0,https://www.naukri.com/job-listings-power-bi-analyst-consultant-pcgi-systems-vadodara-3-to-5-years-080823500315,2026-06-04T16:07:47.481774
Naukri,power bi analyst,Sr. Analyst - Power BI,Proclink,5-7 Yrs,,,,,Ahmedabad,python | data analysis | data analytics | ssas | bi | power bi | data warehousing | dashboards,,2 weeks ago,3.5,https://www.naukri.com/job-listings-sr-analyst-power-bi-proclink-consulting-services-llp-ahmedabad-5-to-7-years-200526501156,2026-06-04T16:07:47.482172
Naukri,power bi analyst,Client Consulting Analyst (vendor/operations/Power BI/invoices),Visa Consolidated Support Services India,5-7 Yrs,,,,,Bengaluru,forecasting | vendor management | project management | data analysis | issue resolution | power bi | process improvement | business planning,,1 day ago,3.5,https://www.naukri.com/job-listings-client-consulting-analyst-vendor-operations-power-bi-invoices-visa-consolidated-support-services-india-pvt-ltd-bengaluru-5-to-7-years-030626914520,2026-06-04T16:07:47.482559
Naukri,power bi analyst,"Senior Data Analyst - Data Governance, Power BI",Optum,5-10 Yrs,,,,,Gurugram,compliance | data analytics | data analysis | data management | data lineage | ai | power bi | auditing,,1 day ago,4.0,https://www.naukri.com/job-listings-senior-data-analyst-data-governance-power-bi-optum-global-solutions-india-private-limited-gurugram-5-to-10-years-030626913331,2026-06-04T16:07:47.482947
Naukri,power bi analyst,IAM Power BI Analyst,Zuna Solutions,8-13 Yrs,,,,,Remote,Identity Access Management | Power Bi | Power Query | IAM | Iam Tools | Entra Id | ISO | Sailpoint,,2 weeks ago,,https://www.naukri.com/job-listings-iam-power-bi-analyst-zuna-solutions-bengaluru-8-to-13-years-200526001576,2026-06-04T16:07:47.483295
Naukri,power bi analyst,Urgent Hiring Accounts Analyst  SAP & Power BI-(5-6years Exp) Kolkata,TYASuite Software Solutions Pvt Ltd,5-6 Yrs,,,,,Kolkata,SAP | Power Bi | Accounting | ERP | Financial Analysis | Finance | Analysis | Bi,,1 week ago,2.7,https://www.naukri.com/job-listings-urgent-hiring-accounts-analyst-sap-power-bi-5-6years-exp-kolkata-tyasuite-software-solutions-pvt-ltd-kolkata-5-to-6-years-130526016282,2026-06-04T16:07:47.483715
Naukri,power bi analyst,Data Analyst/ Power BI Developer,Ethiqual Global,3-5 Yrs,,,,,Pune,Data Analytics | Power Bi Dashboards | Power Bi | Data Visualization | Dax | Dashboards | SQL | Python,,1 week ago,3.2,https://www.naukri.com/job-listings-data-analyst-power-bi-developer-ethiqual-global-pune-3-to-5-years-250526009171,2026-06-04T16:07:47.484131
Naukri,power bi analyst,"Investment Risk Analyst (CFA/FRM, SQL, Power BI, Python)",Franklin templeton asset management (india)pvt,4-6 Yrs,,,,,Hyderabad,Front office | Operations research | Data management | Wealth management | Data quality | Asset management | Investment management | Medical insurance,,1 week ago,3.8,https://www.naukri.com/job-listings-investment-risk-analyst-cfa-frm-sql-power-bi-python-franklin-templeton-asset-management-india-pvt-hyderabad-4-to-6-years-270526502660,2026-06-04T16:07:47.484515
Naukri,power bi analyst,Product Analyst (Power BI / Data Analytics ),Lumel Technologies,1-3 Yrs,,,,,Chennai,python | data analytics | data analysis | ssas | data mining | bi | power bi | data warehousing,,5 days ago,3.7,https://www.naukri.com/job-listings-product-analyst-power-bi-data-analytics-lumel-chennai-1-to-3-years-290526507383,2026-06-04T16:07:47.484898
Naukri,power bi analyst,Power Bi Analyst,NCR Atleos,1-3 Yrs,,,,,Mumbai (All Areas)(Vikhroli),Power Bi | Power Bi Reports | Microsoft Power Bi | Bi | Data Visualization | Dax | Data Analytics | SQL,,1 week ago,3.8,https://www.naukri.com/job-listings-power-bi-analyst-ncr-corporation-mumbai-all-areas-1-to-3-years-260526014676,2026-06-04T16:07:47.485281
Naukri,power bi analyst,BI Analyst - Power BI,Leading Client,2-5 Yrs,,,,,"Mumbai, Hyderabad, Bengaluru",Power BI | Data Modelling | Business Intelligence | Azure | Excel | Dashboard | DAX | ETL,,1 week ago,,https://www.naukri.com/job-listings-bi-analyst-power-bi-talent-corner-hr-services-pvt-ltd-mumbai-hyderabad-bengaluru-2-to-5-years-260526928133,2026-06-04T16:07:47.485652
Naukri,power bi analyst,Power BI Analyst,360DigiTMG,3-5 Yrs,,,,,Chennai,SQL queries | Data analysis | Excel | Data modeling | BI Analyst | Analytical | power bi | SQL,,5 days ago,4.1,https://www.naukri.com/job-listings-power-bi-analyst-360digitmg-chennai-3-to-5-years-290526504065,2026-06-04T16:07:47.486061
Naukri,power bi analyst,Senior Power BI Analyst,NuStar Technologies,8-13 Yrs,,,,,"Chennai, Bengaluru, Delhi / NCR",Power Bi | Data Analysis | Banking Domain Knowledge | Data Quality | Risk | Advance Sql | Tableau | Dashboards,,6 days ago,,https://www.naukri.com/job-listings-senior-power-bi-analyst-nustar-technologies-chennai-bengaluru-delhi-ncr-8-to-13-years-290526001365,2026-06-04T16:07:47.486434
Naukri,power bi analyst,Data Analyst (Power BI & Azure Databricks),Bridgestone - Global Capability Center,4-7 Yrs,,,,,Hybrid - Bengaluru,Power Bi | Azure Databricks | Analytics | Python | SQL | Tableau | Microsoft Azure | Data analysis,,1 week ago,4.0,https://www.naukri.com/job-listings-data-analyst-power-bi-azure-databricks-bridgestone-global-capability-center-bengaluru-4-to-7-years-250526007034,2026-06-04T16:07:47.486819
Naukri,power bi analyst,Power BI Technical Lead (Lead Analyst),CGI,9-14 Yrs,,,,,Chennai,technical lead | snowflake | data analytics | sap | oracle | power bi | data warehousing | cognos,,1 week ago,4.0,https://www.naukri.com/job-listings-power-bi-technical-lead-lead-analyst-cgi-information-systems-and-management-consultants-chennai-9-to-14-years-210526923107,2026-06-04T16:07:47.487202
Naukri,power bi analyst,Senior Power BI Analyst,Nustar Technologies,8-13 Yrs,,,,,"Hyderabad, Chennai, Bengaluru",Power Bi | key performance indicators | Reporting | Bi | Senior | Performance | Key,,1 week ago,,https://www.naukri.com/job-listings-senior-power-bi-analyst-nustar-technologies-hyderabad-chennai-bengaluru-8-to-13-years-260526018019,2026-06-04T16:07:47.487568
Naukri,power bi analyst,Power Bi Analyst- Largest Health care- Hyderabad,Apollo Health and Lifestyle (AHLL),2-6 Yrs,,,,,Hyderabad,Power Bi | Advanced Analytics | analyst | Analytics Reporting | Reporting | Large | Analytics | Healthcare,,3 weeks ago,4.3,https://www.naukri.com/job-listings-power-bi-analyst-largest-health-care-hyderabad-apollo-health-and-lifestyle-ahll-hyderabad-2-to-6-years-150426018630,2026-06-04T16:08:09.389058
Naukri,power bi analyst,Data Analyst - Power BI,Ecotech IT Solutions,5-10 Yrs,,,,,Pune,Power BI | Power Query | SQL | Data Visualization | DAX | Business Intelligence | Advanced Excel | M Query,,5 days ago,,https://www.naukri.com/job-listings-data-analyst-power-bi-fabric-pune-5-to-10-years-200426007998,2026-06-04T16:08:09.389481
Naukri,power bi analyst,"Senior Data Analyst - Power BI, SQL",Optum,3-8 Yrs,,,,,Gurugram,finance | sprint | ai | power bi | hr | user stories | user experience | business intelligence,,1 day ago,4.0,https://www.naukri.com/job-listings-senior-data-analyst-power-bi-sql-optum-global-solutions-india-private-limited-gurugram-3-to-8-years-030626913682,2026-06-04T16:08:09.389869
Naukri,power bi analyst,Power Bi Developer / Power Bi Analyst,Gokaldas Exports,8-12 Yrs,,,,,Bengaluru,Power Bi Reports | power bi dashboards | dax calculations | KPI | Development | Birt | Calculation | Reporting,,2 weeks ago,3.9,https://www.naukri.com/job-listings-power-bi-developer-power-bi-analyst-gokaldas-exports-bengaluru-8-to-12-years-160526016784,2026-06-04T16:08:09.390253
Naukri,power bi analyst,Power BI Analyst / Consultant,Pcgi Systems,3-5 Yrs,,,,,Vadodara,Report generation | Data modeling | Information security | Disaster recovery | query | power bi | Data analytics | QlikView,,3+ weeks ago,4.0,https://www.naukri.com/job-listings-power-bi-analyst-consultant-pcgi-systems-vadodara-3-to-5-years-080823500315,2026-06-04T16:08:09.390638
Naukri,power bi analyst,Sr. Analyst - Power BI,Proclink,5-7 Yrs,,,,,Ahmedabad,python | data analysis | data analytics | ssas | bi | power bi | data warehousing | dashboards,,2 weeks ago,3.5,https://www.naukri.com/job-listings-sr-analyst-power-bi-proclink-consulting-services-llp-ahmedabad-5-to-7-years-200526501156,2026-06-04T16:08:09.391025
Naukri,power bi analyst,Client Consulting Analyst (vendor/operations/Power BI/invoices),Visa Consolidated Support Services India,5-7 Yrs,,,,,Bengaluru,forecasting | vendor management | project management | data analysis | issue resolution | power bi | process improvement | business planning,,1 day ago,3.5,https://www.naukri.com/job-listings-client-consulting-analyst-vendor-operations-power-bi-invoices-visa-consolidated-support-services-india-pvt-ltd-bengaluru-5-to-7-years-030626914520,2026-06-04T16:08:09.391408
